Variable,CC,RMSE,SI,BIAS,MeanAPD,StdAPD
Effluent COD,"PearsonRResult(statistic=0.9914381965140369, pvalue=0.0)",1.0103979746220721,0.06287774658364813,-0.03144677952156253,2.2806077197136876,3.28528826713727
Effluent Total suspended solids,"PearsonRResult(statistic=0.9966518906940945, pvalue=0.0)",0.12044015732177937,0.018675776794761543,0.005855513111952041,1.122085171868472,1.5179026790763959
Effluent COD,"PearsonRResult(statistic=0.7987635057797967, pvalue=8.86089528461802e-294)",73.1355851295926,3.7469278503019847,35.25547578412614,166.50303737761445,134.30388630080657
Effluent Total suspended solids,"PearsonRResult(statistic=-0.2307245051049776, pvalue=1.9098200791301128e-17)",9.998496990057989,1.383874751826319,4.283656948484031,112.52310650011091,120.22801774846909
